ID_Empresa;RazaoSocial;Total;
111;MPE Montagens e Projetos Especiais S/A;3;
390;MTR - MADALENA TRAT. DE RES. URBANOS LTDA;0;
566;NAVIS DRILLIN LTDA;27;
600;NAVIS DRILLIN LTDA  NAV;49;
567;NAVIS DRILLING LTDA SS65;224;
472;Nero 20 Industria  Comercio de Prod. Quimicos LTDA;0;
272;Noble do Brasil S/C Ltda;120;
18;Noble do Brasil S/C Ltda - Base;1582;
513;Noble do Brasil S/C Ltda - Base Linha Azul;116;
449;Noble do Brasil S/C Ltda - Dave Beard;192;
141;Noble do Brasil S/C Ltda - NS 15;1763;
142;Noble do Brasil S/C Ltda - NS 17;1837;
143;Noble do Brasil S/C Ltda - NS 18;833;
591;Noble do Brasil S/C Ltda - Oil State;13;
569;Noble do Brasil S/C Ltda  PHOENIX;292;
144;Noble do Brasil S/C Ltda - SS 53;1303;
317;Noble do Brasil S/C Ltda - SS 55;1;
281;Noble do Brasil S/C Ltda - SS 62;1295;
380;Noble do Brasil S/C Ltda - SS 62;49;
438;Noble do Brasil S/C Ltda - SS 63;2;
483;Noble do Brasil S/C Ltda - SS 71;1057;
413;Nort-Tec Comercio e Industria Ltda Me;0;
109;Nutec MacaeTrein. em Seg. Maritima Ltda;612;
542;Nutec MacaeTrein. em Seg. MaritLtda Base Mar Norte;14;
484;ODEBRECHT ÓLEO E GÁS LTDA;3;
611;Odebrecht Oleo e Gas S.A. - Delba III;155;
539;Odebrecht Oleo e Gas S.A. - Norbe IX;351;
540;Odebrecht Oleo e Gas S.A. - Norbe VI;602;
541;Odebrecht Oleo e Gas S.A. - Norbe VIII;571;
622;Odebrecht Oleo e Gas S.A. - ODN4;159;
601;Odebrecht Oleo e Gas S.A. - Perfuração;59;
494;Odebrecht Oleo e Gas SA;1060;
45;Pan Marine do Brasil Ltda;194;
299;Pan Marine do Brasil Ltda -  Navio;4;
366;Pan Marine do Brasil Ltda - Adam Tide;76;
303;Pan Marine do Brasil Ltda - CARLINE TIDE;38;
312;Pan Marine do Brasil Ltda - Chesapeake Sh;31;
311;Pan Marine do Brasil Ltda - Collins Tide;107;
345;Pan Marine do Brasil Ltda - Cruz Tide;6;
309;Pan Marine do Brasil Ltda - Cumbria Service;26;
347;Pan Marine do Brasil Ltda - Danko Tide;55;
349;Pan Marine do Brasil Ltda - Danko Tide;9;
334;Pan Marine do Brasil Ltda - Freyoux Tide;3;
304;Pan Marine do Brasil Ltda - GALLUSTURM;66;
313;Pan Marine do Brasil Ltda - Guard Tide;18;
360;Pan Marine do Brasil Ltda - Herdentor;24;
367;Pan Marine do Brasil Ltda - Hinghlands Tide;20;
310;Pan Marine do Brasil Ltda - Huntetor;22;
305;Pan Marine do Brasil Ltda - John P Laborde;13;
426;Pan Marine do Brasil Ltda  Majestic Tide;1;
306;Pan Marine do Brasil Ltda - Marion Tide;40;
330;Pan Marine do Brasil Ltda - Mercutiob DÃ?Â?Ã?Â¡Ã?Â;7;
323;Pan Marine do Brasil Ltda - Milan Tide;34;
425;Pan Marine do Brasil Ltda  Oil Dirt;1;
307;Pan Marine do Brasil Ltda - Oil Onyx;48;
325;Pan Marine do Brasil Ltda - Oil Provider;17;
344;Pan Marine do Brasil Ltda - Oil Tracer;27;
308;Pan Marine do Brasil Ltda - Oil Trader;32;
333;Pan Marine do Brasil Ltda - Oil Vibrant;2;
324;Pan Marine do Brasil Ltda - Pardee Tide;45;
331;Pan Marine do Brasil Ltda - Richard M. Currence;4;
421;Pan Marine do Brasil Ltda - Richard M.Currence;1;
420;Pan Marine do Brasil Ltda - Selabord;1;
401;Pan Marine do Brasil Ltda - Werdertor;1;
404;Pan Marine do Brasil Ltda - Willian CoÃ?Â´Ã?Â­Mall;1;
321;Pan Marine do Brasil Ltda-Leroy Tide;8;
322;Pan Marine do Brasil Ltda-Mire Tide;32;
123;Parque de Material BÃ?Â©lico;0;
246;Parque de Material BÃ?Â©lico;0;
