ID_Empresa;RazaoSocial
67;Perenyi Serviços Tecnicos de Limpeza Ind. Ltda
119;Petrobras S/A
114;Petroleo Brasileiro S/A
69;Petrolub Industrial de Lubrificante Ltda
19;Petrometal Engenharia Ltda
20;Petroserv S.A.
445;Petroserv S.A. -  Atlantic Zephyr
55;Plastimassa Industria e Comercio Ltda
77;Power Well Brasil Serv. Testes Geol. Ltda
280;Pq Mat Bel ( * Encontra-se em Transito)
247;Pq. Material BÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±lico (* Enco
444;PREFEITURA DE MACAÃ?
2;Prestadora de Serviços Irmaos Ribeiro Lt
549;Pride do Brasil LTDA.
469;Pride do Brasil Serv. de Petr. Ltda - PORTLAND
399;Pride do Brasil Serv. Petroeo Ltda - SS48
368;Pride do Brasil Serv. Petroleo Ltda
433;Pride do Brasil Serv. Petroleo Ltda - Ang dos Rei
21;Pride do Brasil Serv. Petroleo Ltda - BASE
547;Pride do Brasil Serv. Petroleo Ltda - Base CT
451;Pride do Brasil Serv. Petroleo Ltda - Base Varco
556;Pride do Brasil Serv. Petroleo Ltda - DS04
274;Pride do Brasil Serv. Petroleo Ltda - PPL SS-61
474;Pride do Brasil Serv. Petroleo Ltda - PSE
164;Pride do Brasil Serv. Petroleo Ltda - SS 47
174;Pride do Brasil Serv. Petroleo Ltda - SS 56
163;Pride do Brasil Serv. Petroleo Ltda - SS 57
422;Pride do Brasil Serv. Petroleo Ltda - SS 66
372;Pride do Brasil Serv. Petroleo Ltda - SS47 AR
508;Pride do Brasil Serv. Petroleo Ltda - SS55
397;Pride do Brasil Serv. Petroleo Ltda - SS60
543;Pride do Brasil Serv. Petroleo Ltda - SS61
514;Pride do Brasil Serv. Petroleo Ltda - Venezuela
378;Pride do Brasil Serv. Petroleo Ltda SS60 Arra
406;Puras Do Brasil Sociedade Anonima
407;Puras Do Brasil Sociedade Anonima -  Flotel
22;Q & B Serviços Ltda
93;Queiroz Galvao oleo e Gas S.A
455;Queiroz Galvao oleo e Gas S.A   SS20 Olinda Star
488;Queiroz Galvao oleo e Gas S.A  SS73 GOLD STAR
161;Queiroz Galvao oleo e Gas S.A - SS 39
160;Queiroz Galvao oleo e Gas S.A Base
535;Queiroz Galvao oleo e Gas S.A Base Macaé
531;Queiroz Galvao oleo e Gas S.A BASE MCE
534;Queiroz Galvao oleo e Gas S.A Base Rio das Ostras
162;Queiroz Galvao oleo e Gas S.A SS 45
529;Queiroz Galvao oleo e Gas S.A SS-79 Lonestar
551;Queiroz Galvao oleo e Gas S.A SS-83 ALPHA STAR
460;R.P.Filho Serviços Hidraulicos LTDA
492;Recuperadora de Tamb. Penafiel - 4º Via Entregue
68;Recuperadora de Tamb. Penafiel Ltda
414;Refrigeraçao Sudeste Ltda
108;Remac Retifica Macae Ltda
291;Remaq Industria Comercio e Representações LTDA
548;Resipetrol LTDA.
59;S/A Paulista de Const. e Comercio
65;SÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â¿tio Ilhota
403;San Antonio Internacional Do Brasil Serv.Pet. LTDA
112;Santmac Manutençoes Tecnicas - Tecm
24;SBM do Brasil Ltda
235;SBM do Brasil Ltda - Espadarte
26;SBM Operaçoes S/C Ltda
25;SBM Serviços Ltda
27;Schahin Engenharia Ltda
212;Schahin Engenharia Ltda - Marfood
211;Schahin Engenharia Ltda - NS09 Sclancer
532;Schahin Engenharia Ltda - Pantanal
583;Schahin Engenharia Ltda - Vitoria
554;Schahin Engenharia Ltda. - Amazonia
383;Schlumberger S. Petroleo LTDA
384;Schlumberger S. Petroleo LTDA- Base Teleporto
284;Schulumberger Serv. de Pet. Ltda - A.L.
279;Schulumberger Serv. de Pet. Ltda - D&M
216;Schulumberger Serv. de Pet. Ltda - W & T
244;Schulumberger Serv. de Pet. Ltda - W.S
447;Seadrill Serviços de Petroleo LTDA
448;Seadrill Seviços de Petroleo LTDA   SS68
271;Sealion do Brasil Navegaçao Ltda
408;Sealion do Brasil Navegaçao Ltda  Sealion Amazonia
416;Sealion do Brasil Navegaçao Ltda  Toisa Conquero
417;Sealion do Brasil Navegaçao Ltda  Toisa Tiger
418;Sealion do Brasil Navegaçao Ltda  Toisa Voyager
410;Sealion do Brasil Navegaçao Ltda - Toisa Sentine
409;Sealion do Brasil Navegaçao Ltda - Toisa Voyager
70;Serviços em Containeres Contil Ltda
126;Sistac Sistema de Acesso Ltda
46;Sparrows BSM Engenharia Ltda
28;Stolt Offshore S/A - Base
165;Stolt Offshore S/A - Seco
166;Stolt Offshore S/A - Seha
276;Subsea 7 do Brasil Serv. Ltda - S. Amazonia
283;Subsea7 do Brasil Serv. Ltda
72;Subsea7 do Brasil Serv. Ltda - BASE
561;Subsea7 do Brasil Serv. Ltda - Base RO
204;Subsea7 do Brasil Serv. Ltda - K 2000
203;Subsea7 do Brasil Serv. Ltda - K 3000
202;Subsea7 do Brasil Serv. Ltda - Lochnagar
497;Subsea7 do Brasil Serv. Ltda - Lote Lagomar
435;Subsea7 do Brasil Serv. Ltda - Normand Seven
353;Subsea7 do Brasil Serv. Ltda - RSV SALGUEIRO
209;Subsea7 do Brasil Serv. Ltda - SS 57 Pride Brazil
210;Subsea7 do Brasil Serv. Ltda -SS 55
479;Superior Energy Serv. de Petroleo do Brasil LTDA
584;SUPLLY OIL E GAS LTDA
60;Suzaquim Industrias Quimicas Ltda
207;Tamco Lubrificantes Ltda
54;Tasa Lubrificantes Ltda
471;Tasa Lubrificantes Ltda - 4ºvia Entregue
294;Techint S.A
374;Technip Brasil - Eng., Inst.  Ap. S.A Sunrise 2000
495;Technip Brasil - Eng., Inst. Apo.Mar Normand Seven
486;Technip Brasil - Eng., Inst. e Apo Mrí S. DECO
373;Technip Brasil - Eng., Inst. e Apoio Maritimo S.A
454;Technip Brasil - Eng., Inste ApoioNormand Progress
120;Tecnologia em Cabos de Aço Brascabo Ltda
558;Tecnologia Total em Empreendimentos Ltda.
113;Termomacae  Ltda
47;Tetra Technologies do Brasil Ltda
593;Tetra Technologies do Brasil Ltda - NS15
585;Tetra Technologies do Brasil Ltda - NS18
586;Tetra Technologies do Brasil Ltda - NS32
579;Tetra Technologies do Brasil Ltda - P-16
369;Tetra Technologies do Brasil Ltda - Porto Niteroi
580;Tetra Technologies do Brasil Ltda - PPG-1
587;Tetra Technologies do Brasil Ltda - PVM-2
594;Tetra Technologies do Brasil Ltda - SS-49
576;Tetra Technologies do Brasil Ltda - SS-54
595;Tetra Technologies do Brasil Ltda - SS61
588;Tetra Technologies do Brasil Ltda - SS62
589;Tetra Technologies do Brasil Ltda - SS69
62;THV Transportes Ltda
132;Transmagno Transportes Rodoviarios Ltda
90;Transocean Brasil Ltda
527;Transocean Brasil Ltda  Arctic 1
145;Transocean Brasil Ltda - Base
528;Transocean Brasil Ltda - Deep Water Discovery
498;Transocean Brasil Ltda - Discovery
597;Transocean Brasil Ltda - MTC TRANSOCEAN MACAE
146;Transocean Brasil Ltda - NS 16
147;Transocean Brasil Ltda - NS 20
148;Transocean Brasil Ltda - NS 22
153;Transocean Brasil Ltda - NS 23
441;Transocean Brasil Ltda - NS 26 MILENNIUM
386;Transocean Brasil Ltda - NS16
537;Transocean Brasil Ltda - Petrobras 10000
446;Transocean Brasil Ltda - Sedco 706 Ilha Rasa
419;Transocean Brasil Ltda - SOVEX
442;Transocean Brasil Ltda - SS 37
463;Transocean Brasil Ltda - SS 40
154;Transocean Brasil Ltda - SS 41
149;Transocean Brasil Ltda - SS 43
150;Transocean Brasil Ltda - SS 49
151;Transocean Brasil Ltda - SS 50
464;Transocean Brasil Ltda - SS 52
465;Transocean Brasil Ltda - SS 55
152;Transocean Brasil Ltda - SS 59
387;Transocean Brasil Ltda - SS 63
466;Transocean Brasil Ltda - SS 64
485;Transocean Brasil Ltda - SS72 Celtic Sea
510;Transocean Brasil Ltda - SS76 Cajun Express
335;Transportadora Bitury Ltda
522;Transportadora Norte Fluminense de Macaé Ltda.
63;Transportadora Novo Milenio Ltda
130;TRIBEL Trat. de Residuos Ind.
103;Tuboscope Vetco do Brasil Eq. Serv. Ltda
32;UNAP Uniao Nacional de Perfuraçao L
359;Univex  ( * Encontra-se em trÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã
354;Univex Industria e ComÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±rcio
122;Usina Norte Fluminense S/A
524;UTC Engenharia S/A.
31;Varco International  Brasil Eq. Serv. Ltda _1
106;Varco International  Brasil Eq. Serv. Ltda_2
278;Ventura Petroleo S.A.
33;Ventura Petroleo S.A. - Base
525;Ventura Petroleo S.A. - Dynamic Producer
590;Ventura Petroleo S.A. - NS29 Carolina
169;Ventura Petroleo S.A. - SS 51 LOUISIANA
482;Ventura Petroleo S.A. - SS70 Victória
127;Vetco Gray oleo e Gas Ltda
581;Weatherford Ind. e Comercio Ltda - Novo Cavaleiros
128;Weatherford Industria e comercio Ltda
227;White Martins Gases Industriais Ltda
490;xxxxxxxxxxxxxxxxxxxxxxxx
509;xxxxxxxxxxxxxxxxxxxxxxxx - 4ª via já entregue
