ID_Empresa;RazaoSocial;CNPJ
73;"M.V. Das Merces Transportes Ltda";NULL
613;"Macaé Proj. e Serv. Ambi. Ltda (4° via entregue)";
557;"Macaé Projetos e Serviços Ambientais Ltda";
521;"Macaé Realty Empreendimentos Imobiliários Ltda";NULL
15;"Maersk Brasil ( Brasmar ) Ltda";NULL
476;"Marine Production Systens do Brasil";NULL
16;"Mendes Jr. Trad. e Engenharia S/A";19394808002091
239;"Mendes Jr. Trad. e Engenharia S/A - BASE";NULL
238;"Mendes Jr. Trad. e Engenharia S/A - P09";NULL
346;"Mendes Jr. Trad. e Engenharia S/A - P32";19394808002091
233;"Mendes Jr. Trad. e Engenharia S/A - PCH 1";NULL
236;"Mendes Jr. Trad. e Engenharia S/A - PCH2";NULL
361;"Mendes Jr. Trad. e Engenharia S/A - PCH3";19394808002091
232;"Mendes Jr. Trad. e Engenharia S/A - PNA 1";NULL
237;"Mendes Jr. Trad. e Engenharia S/A - PNA2";NULL
76;"Metroval Controle de Fluidos Ltda";58762956000372
550;"Missoes Rio Oleo Coleta e Comercio de Oleos LTDA.";
319;"Modec Serv. de Petroleo do Brasil Ltda-FPSO-RJ";NULL
316;"Modec Serv. de Petroleo do Brasil Ltda.";05217376000176
352;"Modec Serv. de Petroleo do Brasil Ltda.- FSO Macae";05217376000176
437;"Modec Serv.de Petroleo do Brasil Ltda FPSO Niteroi";05217376000176
111;"MPE Montagens e Projetos Especiais S/A";NULL
390;"MTR - MADALENA TRAT. DE RES. URBANOS LTDA";NULL
566;"NAVIS DRILLIN LTDA";03741603000132
600;"NAVIS DRILLIN LTDA  NAV";03741603000132
567;"NAVIS DRILLING LTDA SS65";03741603000132
472;"Nero 20 Industria  Comercio de Prod. Quimicos LTDA";07.647461000108
272;"Noble do Brasil S/C Ltda";40330078000199
569;"Noble do Brasil S/C Ltda  PHOENIX";40330078000199
18;"Noble do Brasil S/C Ltda - Base";40330078000199
513;"Noble do Brasil S/C Ltda - Base Linha Azul";40330078000199
